step,time,requested_x,requested_y,requested_z,i,j,k,T,pressure,velocity_magnitude
114,5.7,0.22,0,0.3,4,0,13,20,0,0
115,5.75,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
116,5.8,0.22,0,0.3,4,0,13,20,0,0
117,5.85,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
118,5.9,0.22,0,0.3,4,0,13,20,0,0
119,5.95,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
120,6,0.22,0,0.3,4,0,13,20,0,0
121,6.05,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
122,6.1,0.22,0,0.3,4,0,13,20,0,0
123,6.15,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
124,6.2,0.22,0,0.3,4,0,13,20,0,0
125,6.25,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
126,6.3,0.22,0,0.3,4,0,13,20,0,0
127,6.35,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
128,6.4,0.22,0,0.3,4,0,13,20,0,0
129,6.45,0.22,0,0.3,4,0,13,20,-0.00276869,0.0319969
130,6.5,0.22,0,0.3,4,0,13,20,0,0
131,6.55,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
132,6.6,0.22,0,0.3,4,0,13,20,0,0
133,6.65,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
134,6.7,0.22,0,0.3,4,0,13,20,0,0
135,6.75,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
136,6.8,0.22,0,0.3,4,0,13,20,0,0
137,6.85,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
138,6.9,0.22,0,0.3,4,0,13,20,0,0
139,6.95,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
140,7,0.22,0,0.3,4,0,13,20,0,0
141,7.05,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
142,7.1,0.22,0,0.3,4,0,13,20,0,0
143,7.15,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
144,7.2,0.22,0,0.3,4,0,13,20,0,0
145,7.25,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
146,7.3,0.22,0,0.3,4,0,13,20,0,0
147,7.35,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
148,7.4,0.22,0,0.3,4,0,13,20,0,0
149,7.45,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
150,7.5,0.22,0,0.3,4,0,13,20,0,0
151,7.55,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
152,7.6,0.22,0,0.3,4,0,13,20,0,0
153,7.65,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
154,7.7,0.22,0,0.3,4,0,13,20,0,0
155,7.75,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
156,7.8,0.22,0,0.3,4,0,13,20,0,0
157,7.85,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
158,7.9,0.22,0,0.3,4,0,13,20,0,0
159,7.95,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
160,8,0.22,0,0.3,4,0,13,20,0,0
161,8.05,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
162,8.1,0.22,0,0.3,4,0,13,20,0,0
163,8.15,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
164,8.2,0.22,0,0.3,4,0,13,20,0,0
165,8.25,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
166,8.3,0.22,0,0.3,4,0,13,20,0,0
167,8.35,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
168,8.4,0.22,0,0.3,4,0,13,20,0,0
169,8.45,0.22,0,0.3,4,0,13,20,-0.00276868,0.0319969
170,8.5,0.22,0,0.3,4,0,13,20,0,0
171,8.55,0.22,0,0.3,4,0,13,20,-0.00276867,0.0319969
172,8.6,0.22,0,0.3,4,0,13,20,0,0
