step,time,x,y,z,T,qdot,is_component,k,rho,cp
dx,1,dy,1,dz,0.25
0,0,1,4,15,20,0,0,1,1,1000
0,0,2,0,0,20,0,0,1,1,1000
0,0,2,0,1,20,0,0,1,1,1000
0,0,2,0,2,20,0,0,1,1,1000
0,0,2,0,3,20,0,0,1,1,1000
0,0,2,0,4,20.6,1200,1,1,200,1
0,0,2,0,5,20.6,1200,1,1,200,1
0,0,2,0,6,20.6,1200,1,1,200,1
0,0,2,0,7,20.6,1200,1,1,200,1
0,0,2,0,8,20,0,0,1,1,1000
0,0,2,0,9,20,0,0,1,1,1000
0,0,2,0,10,20,0,0,1,1,1000
0,0,2,0,11,20,0,0,1,1,1000
0,0,2,0,12,20,0,0,1,1,1000
0,0,2,0,13,20,0,0,1,1,1000
0,0,2,0,14,20,0,0,1,1,1000
0,0,2,0,15,20,0,0,1,1,1000
0,0,2,1,0,20,0,0,1,1,1000
0,0,2,1,1,20,0,0,1,1,1000
0,0,2,1,2,20,0,0,1,1,1000
0,0,2,1,3,20,0,0,1,1,1000
0,0,2,1,4,20.6,1200,1,1,200,1
0,0,2,1,5,20.6,1200,1,1,200,1
0,0,2,1,6,20.6,1200,1,1,200,1
0,0,2,1,7,20.6,1200,1,1,200,1
0,0,2,1,8,20,0,0,1,1,1000
0,0,2,1,9,20,0,0,1,1,1000
0,0,2,1,10,20,0,0,1,1,1000
0,0,2,1,11,20,0,0,1,1,1000
0,0,2,1,12,20,0,0,1,1,1000
0,0,2,1,13,20,0,0,1,1,1000
0,0,2,1,14,20,0,0,1,1,1000
0,0,2,1,15,20,0,0,1,1,1000
0,0,2,2,0,20,0,0,1,1,1000
0,0,2,2,1,20,0,0,1,1,1000
0,0,2,2,2,20,0,0,1,1,1000
0,0,2,2,3,20,0,0,1,1,1000
0,0,2,2,4,20.6,1200,1,1,200,1
0,0,2,2,5,20.6,1200,1,1,200,1
